iata,name,city,state,latitude,longitude,routes
00M,Thigpen,Bay Springs,MS,31.95376472,-89.23450472,0
00R,Livingston Municipal,Livingston,TX,30.68586111,-95.01792778,0
00V,Meadow Lake,Colorado Springs,CO,38.94574889,-104.56989329999999,0
01G,Perry-Warsaw,Perry,NY,42.74134667,-78.05208056,0
01J,Hilliard Airpark,Hilliard,FL,30.6880125,-81.90594389,0
01M,Tishomingo County,Belmont,MS,34.49166667,-88.20111111,0
02A,Gragg-Wade,Clanton,AL,32.85048667,-86.61145333,0
02C,Capitol,Brookfield,WI,43.087509999999995,-88.17786917,0
02G,Columbiana County,East Liverpool,OH,40.67331278,-80.64140639,0
03D,Memphis Memorial,Memphis,MO,40.44725889,-92.22696056,0
04M,Calhoun County,Pittsboro,MS,33.93011222,-89.34285194,0
04Y,Hawley Municipal,Hawley,MN,46.88384889,-96.35089861,0
05C,Griffith-Merrillville,Griffith,IN,41.51961917,-87.40109333,0
05F,Gatesville - City/County,Gatesville,TX,31.42127556,-97.79696778,0
05U,Eureka,Eureka,NV,39.60416667,-116.0050597,0
06A,Moton  Municipal,Tuskegee,AL,32.46047167,-85.68003611,0
06C,Schaumburg,Chicago/Schaumburg,IL,41.98934083,-88.10124278,0
06D,Rolla Municipal,Rolla,ND,48.88434111,-99.62087694,0
06M,Eupora Municipal,Eupora,MS,33.53456583,-89.31256917,0
06N,Randall,Middletown,NY,41.43156583,-74.39191722,0
06U,Jackpot/Hayden,Jackpot,NV,41.97602222,-114.65809109999998,0
07C,Dekalb County,Auburn,IN,41.30716667,-85.06433333,0
07F,Gladewater Municipal,Gladewater,TX,32.52883861,-94.97174556,0
07G,Fitch H Beach,Charlotte,MI,42.57450861,-84.81143139,0
07K,Central City Municipal,Central City,NE,41.11668056,-98.05033639,0
08A,Wetumpka Municipal,Wetumpka,AL,32.52943944,-86.32822139,0
08D,Stanley Municipal,Stanley,ND,48.30079861,-102.4063514,0
08K,Harvard State,Harvard,NE,40.65138528,-98.07978667,0
08M,Carthage-Leake County,Carthage,MS,32.76124611,-89.53007139,0
09A,Butler-Choctaw County,Butler,AL,32.11931306,-88.1274625,0
09J,Jekyll Island,Jekyll Island,GA,31.07447222,-81.42777778,0
09K,Sargent Municipal,Sargent,NE,41.63695083,-99.34038139,0
09M,Charleston Municipal,Charleston,MS,33.99150222,-90.07814499999999,0
09W,South Capitol Street,Washington,DC,38.86872333,-77.00747583,0
0A3,Smithville Municipal,Smithville,TN,35.98531194,-85.80931806,0
0A8,Bibb County,Centreville,AL,32.93679056,-87.08888306,0
0A9,Elizabethton Municipal,Elizabethton,TN,36.37094306,-82.17374111,0
0AK,Pilot Station,Pilot Station,AK,61.93396417,-162.8929358,0
0B1,Col. Dyke,Bethel,ME,44.42506444,-70.80784778,0
0B4,Hartington Municipal,Hartington,NE,42.60355556,-97.25263889,0
0B5,Turners Falls,Montague,MA,42.59136361,-72.52275472,0
0B7,Warren-Sugar Bush,Warren,VT,44.11672722,-72.82705806,0
0B8,Elizabeth,Fishers Island,NY,41.25130806,-72.03161139,0
0C0,Dacy,Chicago/Harvard,IL,42.40418556,-88.63343222,0
0C4,Pender Municipal,Pender,NE,42.11388722,-96.72892556,0
0D1,South Haven Municipal,South Haven,MI,42.35083333,-86.25613889,0
0D8,Gettysburg Municipal,Gettysburg,SD,44.98730556,-99.9535,0
0E0,Moriarty,Moriarty,NM,34.98560639,-106.00946609999998,0
0E8,Crownpoint,Crownpoint,NM,35.71765889,-108.20159609999999,0
0F2,Bowie Municipal,Bowie,TX,33.60166667,-97.77556,0
0F4,Loup City Municipal,Loup City,NE,41.29028694,-98.99064278,0
0F7,Fountainhead Lodge Airpark,Eufaula,OK,35.38898833,-95.60165111,0
0F8,William R Pogue Municipal,Sand Springs,OK,36.17528,-96.15181028,0
0F9,Tishomingo Airpark,Tishomingo,OK,34.19592833,-96.67555694,0
0G0,North Buffalo Suburban,Lockport,NY,43.10318389,-78.70334583,0
0G3,Tecumseh Municipal,Tecumseh,NE,40.39944417,-96.17139694,0
0G6,Williams County,Bryan,OH,41.46736111,-84.50655556,0
0G7,Finger Lakes Regional,Seneca Falls,NY,42.88062278,-76.78162028,0
0H1,Trego Wakeeney,Wakeeney,KS,39.0044525,-99.89289917,0
0I8,Cynthiana-Harrison County,Cynthiana,KY,38.36674167,-84.28410056,0
0J0,Abbeville Municipal,Abbeville,AL,31.60016778,-85.23882222,0
0J4,Florala Municipal,Florala,AL,31.04247361,-86.31156111,0
0J6,Headland Municipal,Headland,AL,31.364895,-85.30965556,0
0K7,Humboldt Municipal,Humboldt,IA,42.7360825,-94.24524167,0
0L5,Goldfield,Goldfield,NV,37.71798833,-117.23841189999999,0
0L7,Jean,Jean,NV,35.76827222,-115.3296378,0
0L9,Echo Bay,Overton,NV,36.31108972,-114.4638672,0
0M0,Dumas Municipal,Dumas,AR,33.8845475,-91.53429111,0
0M1,Scott,Parsons,TN,35.63778,-88.127995,0
0M4,Benton County,Camden,TN,36.01122694,-88.12328833,0
0M5,Humphreys County,Waverly,TN,36.11659972,-87.73815889,0
0M6,Panola County,Batesville,MS,34.36677444,-89.90008917,0
0M8,Byerley,Lake Providence,LA,32.82587917,-91.187665,0
0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,38.14611639,-120.6481733,0
0O4,Corning Municipal,Corning,CA,39.94376806,-122.1713781,0
0O5,University,Davis,CA,38.53146222,-121.7864906,0
0Q5,Shelter Cove,Shelter Cove,CA,40.02764333,-124.07336389999999,0
0Q6,Shingletown,Shingletown,CA,40.52210111,-121.8177683,0
0R0,Columbia-Marion County,Columbia,MS,31.29700806,-89.81282944,0
0R1,Atmore Municipal,Atmore,AL,31.01621528,-87.44675972,0
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,29.97576083,-92.08415167,0
0R4,Concordia Parish,Vidalia,LA,31.56683278,-91.50011889,0
0R5,David G Joyce,Winnfield,LA,31.96366222,-92.66026056,0
0R7,Red River,Coushatta,LA,31.99071694,-93.30739306,0
0S7,Dorothy Scott,Oroville,WA,48.958965,-119.41196219999999,0
0S9,Jefferson County International,Port Townsend,WA,48.04981361,-122.80127920000001,0
0V2,Harriet Alexander,Salida,CO,38.53916389,-106.0458483,0
0V3,Pioneer Village,Minden,NE,40.5149125,-98.94565083,0
0V4,Brookneal/Campbell County,Brookneal,VA,37.14172222,-79.01638889,0
0V6,Mission Sioux,Mission,SD,43.30694778,-100.6281936,0
0V7,Kayenta,Kayenta,AZ,36.70972139,-110.23679779999999,0
10C,Galt,Chicago/Greenwood/Wonderlake,IL,42.40266472,-88.37588917,0
10D,Winsted Municipal,Winsted,MN,44.94996278,-94.0669175,0
10G,Holmes County,Millersburg,OH,40.53716667,-81.95436111,0
10N,Wallkill,Wallkill,NY,41.62787111,-74.13375583,0
10U,Owyhee,Owyhee,NV,41.95323306,-116.18760139999999,0
11A,Clayton Municipal,Clayton,AL,31.88329917,-85.48491361,0
11D,Clarion Cty,Clarion,PA,41.22581222,-79.44098972,0
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,42.04808278,-88.05257194,0
11J,Early County,Blakely,GA,31.39698611,-84.89525694,0
11R,Brenham Municipal,Brenham,TX,30.219,-96.37427778,0
12C,Rochelle Municipal,Rochelle,IL,41.89300139,-89.07829,0
12D,Tower Municipal,Tower,MN,47.81833333,-92.29166667,0
12J,Brewton Municipal,Brewton,AL,31.05126306,-87.06796833,0
12K,Superior Municipal,Superior,NE,40.04636111,-98.06011111,0
12Y,Le Sueur Municipal,Le Sueur,MN,44.43746472,-93.91274083,0
13C,Lakeview,Lakeview,MI,43.45213722,-85.26480333,0
13K,Eureka Municipal,Eureka,KS,37.8515825,-96.29169806,0
